Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",C_1210_3225Metric,2,100nF,C342668
C2,C_1206_3216Metric,1,1000pF,C35216
C3,CP_Elec_16x17.5,1,22uF,C249612
C4,C_1812_4532Metric,1,1uF,C381468
"D1, D2",D_SMA,2,STTH1R06A,C13337
J1,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,C144394
J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,1,Conn_01x04,C144395
L1,L_12x12mm_H6mm,1,10mH,C718296
R1,R_1206_3216Metric,1,100,C17901
R2,R_1206_3216Metric,1,10k,C17902
RV1,TRIM_3313J-1-103E,1,100k,C89235
